Question,Psychology,Chemistry,International Studies,Economics,Strategic Communication
I spend my free time reading and/or writing.,1,1,0,0,0
I enjoy leading and managing a team.,0,0,1,1,1
I enjoy learning about how things work.,1,1,1,1,1
I want to start my own business.,0,0,0,1,0
I enjoy working with children.,0,1,1,0,1
I prefer working with a group of people, rather than on my own.,0,0,1,0,1
I make decisions by looking at every angle and then deciding.,1,1,1,1,1
I value transparency and written communication.,1,1,1,0,1
I am likely to confront others in time of conflict.,0,0,1,1,1
I do my best work when I am staying busy.,1,1,1,1,1
I enjoy visualizing my ideas.,1,1,1,1,1
I thrive in high stress environments.,1,0,1,1,1
I usually make decisions by following my gut feeling.,0,0,1,0,1
I enjoy exploring and researching new ideas.,0,1,0,1,0
I enjoy using my imagination at work.,0,1,1,0,1
I take calculated risks.,0,1,1,1,1
I am interested in art.,1,0,0,0,0
I am interested in design and development.,0,0,0,1,1
I feel comfortable dealing with numbers.,0,1,1,1,0
I willingly accept other peopleâ€™s ideas.,1,1,1,0,1
I am quick to jump in on group discussions.,1,0,1,0,1
I believe it is important to help others learn and make decisions.,1,1,1,0,1
I am very comfortable in social situations.,0,1,1,0,1
I am likely to introduce myself to new people.,0,1,1,0,1
I rely on facts and numbers rather than ideas or thoughts.,0,1,0,1,0
I am very analytical.,1,1,1,1,0
I naturally create deadlines, plans, and schedules.,1,1,1,1,1
I think of myself as adventurous,0,1,1,0,1
I think of myself as outgoing,0,1,1,1,1
I think of myself as curious,0,1,0,1,1
I think of myself as helpful,1,1,1,1,1
I think of myself as detail oriented,1,1,1,1,1
I think of myself as logical,1,0,1,1,1
I think of myself as observant,1,1,1,0,1
I think of myself as patient,0,0,0,1,0
I think of myself as practical,1,0,0,1,1
I think of myself as reliable,1,1,1,1,1
I think of myself as honest,1,1,1,1,1
I think of myself as organized,1,1,1,1,1
I think of myself as flexible,0,0,1,0,1
I think of myself as analytical,0,1,1,1,0
I think of myself as creative,1,0,1,0,1
I think of myself as motivated,1,1,1,1,1
I think of myself as independent,1,1,1,1,1
I think of myself as results oriented,0,1,1,1,1
I think of myself as optimisitc,1,0,1,0,1
I think of myself as assertive,0,1,1,1,1
I think of myself as diplomatic,0,0,1,1,0